# gate_summary -- Part 1 (pro replays through the sim), 6639 scored plays from 211 replays
side 1 (blue = icebow player) plays: 5825; side 0: 814
plays with a recognised threat (per-card radii): 5463 / 6639

## A. per card x term: pro tile vs the policy's LOCKED tile (strict >, tie, <), median rank of the pro tile among 1 + N candidates (N = n_cands column)
   (rank 1 = no candidate strictly better; `tie1` = fraction of plays where the pro tile is rank 1 but tied with >= 1 candidate;
    `n_active` = plays where the term is non-zero for the pro tile OR the locked tile OR any candidate is beaten -- i.e. the term applies)

### BLUE side (icebow player)

[tesla] n=807  threat present 733/807  top threats: [('-', 74), ('knight', 43), ('baby_dragon', 30), ('royal_hogs', 29)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p5_timing            pc     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            ra     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             pc     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc     866     0.336  0.343     0.321     10.0  0.154  0.125      860    0.626     0.504
sum                  ra     866     0.336  0.343     0.321     10.0  0.154  0.125      860    0.626     0.504

[rocket] n=305  threat present 254/305  top threats: [('-', 51), ('knight', 16), ('goblinstein', 15), ('royal_hogs', 15)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc     305     0.010  0.279     0.711     27.0  0.069  0.069      290    0.079     0.421
p2_cover             ra     305     0.010  0.279     0.711     27.0  0.069  0.069      290    0.079     0.421
p3_intercept         pc     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc     305     0.184  0.738     0.079      1.0  0.603  0.511      175    0.152     0.064
p4_spell_frac        ra     305     0.184  0.738     0.079      1.0  0.603  0.511      175    0.152     0.064
p4_nado              pc     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            ra     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             pc     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra     305     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc     305     0.157  0.193     0.649     26.0  0.092  0.072      301    0.231     0.485
sum                  ra     305     0.157  0.193     0.649     26.0  0.092  0.072      301    0.231     0.485

### RED side

[tesla] n=63  threat present 50/63  top threats: [('knight', 33), ('ice_wizard', 17), ('-', 13)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc      63     0.206  0.603     0.190      2.0  0.492  0.492       41    0.174     0.171
p1_pull_band         ra      63     0.238  0.571     0.190      2.0  0.460  0.460       42    0.206     0.181
p1_close_penalty     pc      63     0.016  0.905     0.079      1.0  0.921  0.921        6   -0.018    -0.002
p1_close_penalty     ra      63     0.016  0.905     0.079      1.0  0.921  0.921        6   -0.017    -0.002
p2_cover             pc      63     0.048  0.889     0.063      9.0  0.032  0.032       63    0.521     0.500
