[60/211] 020YPYLY29LP {'tag': '020YPYLY29LP', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 49, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.1}
[61/211] 020YPYP8J9PV {'tag': '020YPYP8J9PV', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 62, 'rejected': 1, 'delays': 0, 't': 189.8, 'secs': 0.15}
[62/211] 020YPYQ0RRY0 {'tag': '020YPYQ0RRY0', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 14, 'rejected': 1, 'delays': 1, 't': 71.8, 'secs': 0.11}
[63/211] 020YPYQ22GY2 {'tag': '020YPYQ22GY2', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 47, 'rejected': 0, 'delays': 7, 't': 180.1, 'secs': 0.17}
[64/211] 020YPYYQG22L {'tag': '020YPYYQG22L', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 5, 'rejected': 0, 'delays': 0, 't': 40.7, 'secs': 0.04}
[65/211] 020YPYYQQ8V8 {'tag': '020YPYYQQ8V8', 'error': None, 'crowns': [0, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 61, 'rejected': 0, 'delays': 2, 't': 300.1, 'secs': 0.2}
[66/211] 020YPYYR8Q0P {'tag': '020YPYYR8Q0P', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 53, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.11}
[67/211] 020YPYYVJR0V {'tag': '020YPYYVJR0V', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 13, 'rejected': 1, 'delays': 2, 't': 60.7, 'secs': 0.13}
[68/211] 022YYL8R2GG0 {'tag': '022YYL8R2GG0', 'error': None, 'crowns': [3, 0], 'expected': [3, 1], 'crowns_match': False, 'winner_match': True, 'accepted': 18, 'rejected': 0, 'delays': 0, 't': 86.0, 'secs': 0.17}
[69/211] 022YYL8YCYC8 {'tag': '022YYL8YCYC8', 'error': None, 'crowns': [0, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 118, 'rejected': 0, 'delays': 0, 't': 300.1, 'secs': 0.34}
[70/211] 022YYLUUPYYV {'tag': '022YYLUUPYYV', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 50, 'rejected': 0, 'delays': 0, 't': 187.8, 'secs': 0.23}
[71/211] 022YYLV98PVR {'tag': '022YYLV98PVR', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 52, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.22}
