[82/211] 022YYQYV2C2J {'tag': '022YYQYV2C2J', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 49, 'rejected': 1, 'delays': 2, 't': 164.6, 'secs': 0.26}
[83/211] 022YYQYV9Y2R {'tag': '022YYQYV9Y2R', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 62, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.18}
[84/211] 022YYYUC8VUJ {'tag': '022YYYUC8VUJ', 'error': None, 'crowns': [0, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 123, 'rejected': 0, 'delays': 0, 't': 300.1, 'secs': 0.44}
[85/211] 022YYYUCQR2V {'tag': '022YYYUCQR2V', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 54, 'rejected': 1, 'delays': 3, 't': 180.1, 'secs': 0.18}
[86/211] 022YYYUCR9VJ {'tag': '022YYYUCR9VJ', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 45, 'rejected': 1, 'delays': 1, 't': 180.1, 'secs': 0.21}
[87/211] 022YYYUCVPR9 {'tag': '022YYYUCVPR9', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 60, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.14}
[88/211] 022YYYUU9LPG {'tag': '022YYYUU9LPG', 'error': None, 'crowns': [0, 1], 'expected': [0, 1], 'crowns_match': True, 'winner_match': True, 'accepted': 55, 'rejected': 1, 'delays': 1, 't': 186.6, 'secs': 0.14}
[89/211] 022YYYUUQGGJ {'tag': '022YYYUUQGGJ', 'error': None, 'crowns': [2, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 43, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.23}
[90/211] 022YYYUVGPUU {'tag': '022YYYUVGPUU', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 74, 'rejected': 0, 'delays': 0, 't': 219.6, 'secs': 0.16}
[91/211] 022YYYVURLCJ {'tag': '022YYYVURLCJ', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 44, 'rejected': 1, 'delays': 0, 't': 180.1, 'secs': 0.09}
[92/211] 02GY9GJCR9P0 {'tag': '02GY9GJCR9P0', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 47, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.2}
[93/211] 02GY9GJGYJUV {'tag': '02GY9GJGYJUV', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 51, 'rejected': 1, 'delays': 0, 't': 180.1, 'secs': 0.26}
[94/211] 02GY9GJJLR9Q {'tag': '02GY9GJJLR9Q', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 50, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.14}
[95/211] 02GY9GJQU0UR {'tag': '02GY9GJQU0UR', 'error': None, 'crowns': [0, 1], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 56, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.12}
[96/211] 02GY9GJRPQ89 {'tag': '02GY9GJRPQ89', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 45, 'rejected': 1, 'delays': 2, 't': 180.1, 'secs': 0.2}
[97/211] 02GY9GJRQG2Q {'tag': '02GY9GJRQG2Q', 'error': None, 'crowns': [0, 1], 'expected': [0, 3], 'crowns_match': False, 'winner_match': True, 'accepted': 7, 'rejected': 1, 'delays': 0, 't': 180.1, 'secs': 0.01}
[98/211] 02GY9GJURY8G {'tag': '02GY9GJURY8G', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 55, 'rejected': 0, 'delays': 0, 't': 191.2, 'secs': 0.14}
[99/211] 02GY9GJV00GV {'tag': '02GY9GJV00GV', 'error': None, 'crowns': [0, 1], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 67, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.19}
[100/211] 02GY9GJV8CVG {'tag': '02GY9GJV8CVG', 'error': None, 'crowns': [3, 1], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 119, 'rejected': 0, 'delays': 0, 't': 273.4, 'secs': 0.25}
[101/211] 02GY9GJVQGCQ {'tag': '02GY9GJVQGCQ', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 35, 'rejected': 0, 'delays': 0, 't': 131.2, 'secs': 0.09}
[102/211] 02GY9GJVUP00 {'tag': '02GY9GJVUP00', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 77, 'rejected': 0, 'delays': 6, 't': 243.2, 'secs': 0.38}
